row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
37	37	16	1	0	99	1	0.0474	179028	258276	67698
38	38	16	1	0	108	2	0.065	392835	556001	153937
39	39	16	1	0	123	2	0.06848	231651	453085	187721
40	40	16	1	0	119	2	0.1099	621916	1005088	351852
41	41	16	1	0	100	1	0.06442	515554	693666	170736
42	42	16	1	0	112	2	0.08036	540553	789005	232071
43	43	16	1	0	111	2	0.1108	538096	878580	318977
44	44	16	1	0	112	2	1.439	7123097	11902994	3867837
45	45	16	1	0	112	2	0.1252	808860	1232352	373750
46	46	16	1	0	105	1	0.2377	2081638	2844212	697959
47	47	16	1	0	118	2	2.794	12713867	21244032	7197325
48	48	16	1	0	102	1	0.378	2745911	4133213	1288263
49	49	16	1	0	110	2	0.09857	455978	784482	294834
50	50	16	1	0	120	2	0.4094	2421762	3909160	1286684
51	51	16	1	0	116	2	5.317	24951874	39351091	12437048
52	52	16	1	0	99	1	0.146	1125546	1589848	415616
53	53	16	1	2			0.04699	0	1013	525
54	54	16	1	2			9.483	0	34407173	15823561
55	55	16	1	0	117	2	0.697	3289005	5898177	2312924
56	56	16	1	0	107	2	0.09501	574382	863682	255510
57	57	16	1	0	107	2	0.05987	324030	502482	183022
58	58	16	1	2			0.04708	0	80386	41305
59	59	16	1	0	124	2	0.2256	1001622	1845443	689613
60	60	16	1	0	107	1	0.6572	3707840	5688409	1763777
61	61	16	1	0	106	2	9.826	43689282	65631840	20567413
62	62	16	1	0	96	1	0.05044	50864	66021	14360
63	63	16	1	0	124	3	0.08775	308956	595092	205792
64	64	16	1	0	113	2	0.4224	2174787	3710143	1315579
65	65	16	1	0	103	1	0.04722	366471	459112	93754
66	66	16	1	2			1.704	0	7010523	3448630
67	67	16	1	0	109	2	0.1079	481977	845684	250506
68	68	16	1	0	109	1	0.3349	2091282	3264940	1077473
69	69	16	1	0	117	2	0.3614	2152229	3414447	1106559
70	70	16	1	0	100	2	0.04693	52807	81770	30030
71	71	16	1	0	108	2	0.04718	214105	313464	105638
72	72	16	1	0	108	2	0.0473	92782	140317	40838
73	73	16	1	0	115	2	0.3772	1777971	3136759	1130515
74	74	16	1	2			0.04693	0	0	0
75	75	16	1	0	110	2	0.4097	2175824	3568948	1084278
76	76	16	1	0	107	2	0.06442	445713	608462	153152
77	77	16	1	0	107	1	0.4028	1962767	3451951	1242980
78	78	16	1	0	104	1	0.2303	1014860	1916183	706040
79	79	16	1	0	104	1	0.3938	1583088	3160077	1457554
80	80	16	1	2			0.04693	0	651	345
81	81	16	1	0	114	2	0.1888	1331416	1950996	578018
82	82	16	1	0	114	2	4.954	20586004	33864198	11458246
83	83	16	1	0	109	2	0.2575	1829227	2654432	755179
84	84	16	1	2			0.1786	0	773174	470569
85	85	16	1	0	123	2	0.2752	960252	2052080	796893
86	86	16	1	0	119	2	0.3634	1738498	3092252	1062767
87	87	16	1	0	120	2	0.047	208322	320664	100995
88	88	16	1	0	118	2	1.08	7408525	11090543	3006972
89	89	16	1	0	111	2	0.1568	458714	1059475	414549
90	90	16	1	0	108	2	0.249	2146076	2948100	700118
91	91	16	1	3			105	314070925	492218196	150000017
92	92	16	1	0	107	2	0.3006	273451	406746	120352
93	93	16	1	0	111	2	3.564	10661446	16050959	4658895
94	94	16	1	0	120	2	0.2441	831361	1841702	733449
95	95	16	1	0	115	2	2.364	12325461	19798885	6368477
96	96	16	1	0	105	1	0.1291	400247	923338	463283
97	97	16	1	0	118	2	0.2279	1155210	1940337	695783
98	98	16	1	2			4.529	0	16262574	7613568
99	99	16	1	0	117	2	3.807	25155005	34490203	8772877
100	100	16	1	0	110	2	1.867	11777318	17118406	4912475
101	101	16	1	0	112	2	0.04733	157998	257172	80601
102	102	16	1	0	121	2	0.2088	1230750	1946360	651724
103	103	16	1	0	106	2	0.04711	188366	272552	81689
104	104	16	1	0	127	3	2.475	8145155	16577759	6709885
105	105	16	1	0	99	1	0.04736	121090	239343	112715
106	106	16	1	0	109	2	2.978	20875291	28953401	7449455
107	107	16	1	0	126	3	1.645	4150879	9952450	4331679
108	108	16	1	0	111	2	0.04701	193442	307632	98770
109	109	16	1	0	109	2	0.4548	2801360	4427193	1505420
110	110	16	1	0	104	1	0.1628	897682	1510201	621120
111	111	16	1	0	112	2	0.1553	937253	1486223	460201
112	112	16	1	0	115	2	0.1785	546965	1193647	483833
113	113	16	1	0	109	1	1.34	8226220	13105424	3971690
114	114	16	1	0	112	2	0.4209	2094648	3638893	1129119
115	115	16	1	0	106	1	0.06221	315677	502379	171397
116	116	16	1	0	121	2	0.4801	4059671	5626710	1480229
117	117	16	1	0	127	2	1.095	2008316	6202906	2564353
118	118	16	1	0	109	2	0.713	2608241	5337864	1704282
119	119	16	1	0	119	2	1.653	9679724	14774155	3979422
120	120	16	1	0	107	1	1.381	7505509	12297120	4118337
121	121	16	1	0	133	4	18.12	12606139	76965688	44891015
122	122	16	1	0	121	3	0.1419	431916	968597	348345
123	123	16	1	0	128	3	0.856	4793793	7538962	2375221
124	124	16	1	0	106	2	0.1026	906141	1206481	267444
125	125	16	1	0	107	2	0.7122	4566492	7032076	2042937
126	126	16	1	0	117	2	1.218	6144087	10539610	3400586
127	127	16	1	0	120	2	0.2166	877206	1721980	619950
128	128	16	1	0	114	2	0.07642	346662	579882	202694
129	129	16	1	0	108	2	0.04715	72497	137123	57913
130	130	16	1	0	112	2	3.89	11539024	24271375	8726067
131	131	16	1	2			0.3872	0	1699684	739514
132	132	16	1	2			0.7905	0	3352036	1718798
133	133	16	1	0	102	1	0.05586	299583	456925	150571
134	134	16	1	0	98	1	0.09728	692502	1002931	288394
135	135	16	1	0	107	2	0.774	9314153	11157317	1888718
136	136	16	1	0	114	2	0.5733	4851689	6583145	1656543
137	137	16	1	0	104	2	0.05511	250644	410868	150816
138	138	16	1	0	109	2	0.04719	16371	24707	7549
139	139	16	1	0	105	1	0.1494	1239123	1729401	476738
140	140	16	1	0	108	2	0.3615	3039300	4185353	1016246
141	141	16	1	0	106	1	3.585	33224634	41156808	8283194
142	142	16	1	0	117	2	0.4796	4450785	5952044	1525920
143	143	16	1	0	114	2	0.3942	1906265	3398672	1129372
144	144	16	1	0	108	1	0.3923	4001840	5227607	1131560
145	145	16	1	0	102	1	0.1869	1081295	1784576	699715
146	146	16	1	0	103	1	0.04706	229100	318507	80200
147	147	16	1	0	103	1	0.2636	2617103	3441905	843260
148	148	16	1	0	98	1	0.1546	1113754	1612834	479911
149	149	16	1	0	110	2	0.4364	3331530	4769189	1375533
150	150	16	1	0	146	5	4.254	755509	16349326	7989481
151	151	16	1	0	111	2	0.178	942000	1565891	531488
152	152	16	1	0	117	2	0.06268	345984	528377	176502
153	153	16	1	0	109	2	0.351	1561957	2916168	1112487
154	154	16	1	0	114	2	1.389	5637376	10395047	3688260
155	155	16	1	0	115	2	0.08051	138898	429629	162087
156	156	16	1	2			0.1223	0	499019	210281
157	157	16	1	0	106	2	0.09598	287111	615255	260848
158	158	16	1	0	108	2	0.07867	645417	841580	179287
159	159	16	1	0	102	1	0.08007	718050	923564	207632
160	160	16	1	0	113	2	0.1813	853370	1502027	443484
161	161	16	1	0	107	1	0.04701	130063	222889	87775
162	162	16	1	0	122	2	1.938	10219487	16112597	5238919
163	163	16	1	0	122	3	0.3538	1704203	3007687	1153078
164	164	16	1	2			1.246	0	5278152	2792311
165	165	16	1	0	107	2	0.2305	1988032	2663592	647719
166	166	16	1	0	102	2	0.04702	81123	186982	67031
167	167	16	1	0	101	2	0.04763	280231	365585	91609
168	168	16	1	0	112	2	0.6146	4104367	6231723	2024236
169	169	16	1	0	105	1	0.9219	9401676	12037635	2423921
170	170	16	1	0	108	1	0.2758	2354900	3262608	929418
171	171	16	1	0	118	2	2.255	13071553	19600973	5844681
172	172	16	1	0	108	1	0.7584	4150317	6973738	2180627
173	173	16	1	0	105	2	0.4637	2069142	3877879	1510459
174	174	16	1	0	104	1	0.05628	391106	539085	149216
175	175	16	1	0	115	2	0.1225	319569	766415	293082
176	176	16	1	0	101	2	0.2009	988346	1775436	706015
177	177	16	1	0	114	2	0.1073	640770	995326	315978
178	178	16	1	0	117	2	0.6012	4311927	6303953	1780144
179	179	16	1	2			0.5297	0	2152181	1173321
180	180	16	1	0	108	2	0.8473	2971435	6004496	2307265
181	181	16	1	2			2.204	0	8677376	3859541
182	182	16	1	0	111	2	0.1771	1434560	1966588	551003
183	183	16	1	0	117	2	1.214	3231424	7874177	3210235
184	184	16	1	0	120	2	1.877	4254057	11336889	4870419
185	185	16	1	0	119	2	4.358	25861888	37694700	10213084
186	186	16	1	0	115	2	0.1705	1539855	2029017	489665
187	187	16	1	0	131	3	0.1874	491449	1141178	496909
188	188	16	1	0	119	2	0.9184	7437132	10033020	2459201
189	189	16	1	0	112	2	0.1595	971447	1521718	509538
190	190	16	1	0	122	3	0.2841	614651	1773087	710358
191	191	16	1	0	132	3	0.7747	1399653	4525524	2049942
192	192	16	1	0	108	1	0.3612	3936664	5162334	1100536
193	193	16	1	2			0.04688	0	3993	1357
194	194	16	1	0	109	2	0.06964	349698	557506	192954
195	195	16	1	0	107	2	0.5963	4169737	6182846	1866472
196	196	16	1	0	107	1	0.1147	761979	1159047	360442
197	197	16	1	0	98	1	0.04699	249379	381055	130175
198	198	16	1	0	94	1	0.04712	178516	245135	65712
199	199	16	1	2			0.2006	0	874941	524595
200	200	16	1	0	108	1	0.08411	816214	1052605	243228
201	201	16	1	0	101	1	0.05537	240274	397251	134278
202	202	16	1	0	106	2	0.1358	380814	893556	393563
203	203	16	1	0	108	1	0.2081	1844422	2494040	605974
204	204	16	1	0	109	2	0.04698	95807	132724	35391
205	205	16	1	0	108	2	0.04713	92672	140214	43460
206	206	16	1	0	107	2	0.07398	435670	639240	191435
207	207	16	1	0	101	1	0.05418	287495	439898	141955
208	208	16	1	0	145	4	0.1774	906184	1501881	502968
209	209	16	1	0	123	2	0.1558	805889	1334645	431665
210	210	16	1	0	121	2	3.076	18488078	27817026	8056810
211	211	16	1	2			17.72	0	56270543	28791769
212	212	16	1	0	107	2	0.1792	748356	1353783	529768
213	213	16	1	0	107	1	0.1373	880966	1347230	427699
214	214	16	1	0	113	2	0.2649	891381	1857851	673630
215	215	16	1	0	111	2	0.5467	3362846	5338105	1627608
216	216	16	1	0	112	2	1.156	1575414	6149767	3296219
217	217	16	1	0	113	2	1.745	8387205	13967984	4594263
218	218	16	1	0	111	2	0.7925	4369232	7059034	2361683
219	219	16	1	0	104	1	0.2143	2116055	2809685	614772
220	220	16	1	0	110	1	0.2955	2159799	3187063	894235
221	221	16	1	0	112	2	0.2651	2530052	3378217	843653
222	222	16	1	0	99	1	0.835	6703223	9484668	2619114
223	223	16	1	0	95	1	0.04706	207441	298274	86437
224	224	16	1	0	121	2	0.2692	1092449	2144185	836762
225	225	16	1	0	109	1	0.4061	3262731	4628825	1245620
226	226	16	1	0	112	2	0.3809	2127948	3372910	1066724
227	227	16	1	0	138	3	0.1225	300415	767239	358466
228	228	16	1	0	93	1	0.04704	49657	69097	17450
229	229	16	1	0	111	2	0.07489	631098	839431	209737
230	230	16	1	0	125	2	0.1408	1023014	1507427	441751
231	231	16	1	0	144	4	0.2779	710105	1732935	773565
232	232	16	1	0	104	2	0.04702	84203	163438	82395
233	233	16	1	0	120	3	0.1324	411522	897543	347371
234	234	16	1	0	106	2	0.0471	170808	284944	106256
235	235	16	1	0	113	2	0.0584	250907	411983	128041
236	236	16	1	0	109	2	0.04698	75998	119811	40672
237	237	16	1	0	116	2	0.1059	598335	955322	292312
238	238	16	1	0	117	2	0.06702	288990	502898	179111
239	239	16	1	0	106	2	0.09652	594403	901095	273460
240	240	16	1	0	112	2	0.04714	36848	87477	34797
241	241	16	1	0	107	2	0.4616	1821926	3559681	1471287
242	242	16	1	0	108	1	0.04819	398312	508827	111031
243	243	16	1	0	121	2	0.3555	1465788	2821362	1107885
244	244	16	1	0	121	2	2.723	20354493	28562323	8129418
245	245	16	1	0	107	1	0.1853	1746558	2292351	498779
246	246	16	1	0	113	2	0.2345	1443550	2159477	705911
247	247	16	1	0	116	2	0.1688	1149549	1705818	504801
248	248	16	1	0	104	1	0.2839	2012529	3027471	838668
249	249	16	1	0	88	1	0.04717	21448	29328	7072
250	250	16	1	0	121	2	0.2053	1030983	1801296	683902
251	251	16	1	0	114	2	0.946	7092921	10259930	2805407
252	252	16	1	2			0.6583	0	2633061	1139894
253	253	16	1	0	111	2	1.762	13932774	18717394	4549380
254	254	16	1	0	105	2	0.09782	866332	1171494	313133
255	255	16	1	2			1.473	0	6221810	3742324
256	256	16	1	0	112	1	2.639	13098381	20939203	6338374
257	257	16	1	0	116	3	0.5879	1995134	4363336	1454538
258	258	16	1	0	129	3	0.04723	282727	386321	99835
259	259	16	1	0	105	2	0.2278	1910800	2647067	678786
260	260	16	1	0	124	3	0.6149	2215050	4536417	1881277
261	261	16	1	0	109	2	0.5412	3699001	5708414	1762138
262	262	16	1	0	119	2	0.7197	3247129	5925322	2268338
263	263	16	1	0	120	5	18.85	37534049	95010347	37634658
264	264	16	1	0	111	2	0.04731	65553	124682	51065
265	265	16	1	0	111	2	0.171	1209225	1740931	469835
266	266	16	1	0	121	2	1.008	5802530	9134248	2957167
267	267	16	1	0	107	1	0.2067	1559185	2292822	610435
268	268	16	1	0	111	2	0.4047	3053119	4487826	1424766
269	269	16	1	0	115	2	1.821	9923049	15249713	4387174
270	270	16	1	0	102	1	1.65	15187900	19944418	4325639
271	271	16	1	0	102	2	0.1828	1192029	1836857	544242
272	272	16	1	2			3.131	0	11880518	5238130
273	273	16	1	0	102	1	0.9195	5097352	8294574	2844951
274	274	16	1	0	106	2	0.0471	34215	55121	21017
275	275	16	1	0	112	2	0.9288	5477648	8392761	2663078
276	276	16	1	0	112	2	2.331	9451184	16688504	5691029
277	277	16	1	0	113	2	0.2466	691974	1649584	768527
278	278	16	1	0	114	2	1.582	8422998	13675612	4282551
279	279	16	1	0	122	2	16.81	64706348	115188859	40382737
280	280	16	1	0	110	2	0.3978	2686811	4024613	1149222
281	281	16	1	0	109	2	0.09724	447001	761987	276556
282	282	16	1	0	114	2	0.9462	5236826	8288386	2683493
283	283	16	1	0	128	3	0.7562	3061412	5971864	2174685
284	284	16	1	0	109	2	2.337	19471332	26216284	6904917
285	285	16	1	0	104	2	0.04732	158028	221603	55094
286	286	16	1	0	110	2	0.1412	555756	1027113	407765
287	287	16	1	0	108	2	0.1708	885773	1460967	484988
288	288	16	1	0	105	2	0.05536	278347	415627	136295
289	289	16	1	0	117	2	1.629	5487759	11514859	4435414
290	290	16	1	0	103	1	0.1709	1611455	2140964	490726
291	291	16	1	0	109	2	0.04721	71933	109256	31911
292	292	16	1	0	123	2	0.1085	662476	995098	293160
293	293	16	1	0	103	1	0.05714	427417	578453	142784
294	294	16	1	0	109	2	0.7718	6169778	8385445	2118645
295	295	16	1	0	106	1	0.4334	3672216	5091446	1384419
296	296	16	1	0	110	2	0.3982	2321973	3688758	1237569
297	297	16	1	0	99	1	0.1913	1735377	2371622	566628
298	298	16	1	0	107	2	0.3167	1395446	2619033	1010756
299	299	16	1	0	108	2	0.04779	106986	198242	80762
300	300	16	1	0	119	2	0.4949	2134865	4018013	1387592
301	301	16	1	0	102	1	0.1402	856723	1333291	436160
302	302	16	1	0	106	2	1.712	18307291	22866291	4910715
303	303	16	1	0	119	2	6.504	28448830	49042863	15974661
304	304	16	1	0	97	1	0.1566	1266907	1749934	486727
305	305	16	1	0	109	2	0.1361	702942	1125356	351328
306	306	16	1	0	114	2	0.1325	623513	1102142	372586
307	307	16	1	0	97	1	0.04697	33735	47420	13482
308	308	16	1	0	118	2	0.1822	1646419	2194898	521933
309	309	16	1	2			0.109	0	452704	202107
310	310	16	1	0	99	1	0.9037	8497884	10926220	2489633
311	311	16	1	0	119	2	5.648	32644806	48147112	14436104
312	312	16	1	0	94	1	0.04932	100668	120318	19414
313	313	16	1	0	109	2	0.1392	877145	1313276	391476
314	314	16	1	0	160	5	0.6196	1518005	3655904	1636742
315	315	16	1	0	109	2	0.2769	2339362	3231523	846378
316	316	16	1	0	107	1	0.4198	3480903	4892191	1312171
317	317	16	1	0	106	2	0.181	803661	1389295	485183
318	318	16	1	0	109	2	0.4392	2878400	4240939	1268948
319	319	16	1	0	115	2	0.6358	2721844	4992109	1627522
320	320	16	1	0	115	2	0.2919	1123874	2174723	888660
321	321	16	1	0	118	2	1.219	4227114	8328459	3100520
322	322	16	1	0	114	2	4.849	21671026	35288983	10867461
323	323	16	1	0	111	2	0.2847	2537602	3463524	880815
324	324	16	1	0	125	2	0.1018	435331	774604	264627
325	325	16	1	0	102	1	0.1704	1291030	1833125	473016
326	326	16	1	0	124	2	1.905	4194596	11039903	4701335
327	327	16	1	0	119	2	18.58	57742197	116063180	48584260
328	328	16	1	0	110	2	1.328	6925503	11186824	3642494
329	329	16	1	0	120	2	2.133	8961488	15945983	5788277
330	330	16	1	0	103	1	0.2194	2132483	2774274	663087
331	331	16	1	0	107	2	0.04724	100237	168977	70170
332	332	16	1	0	146	4	0.04729	43335	173744	78002
333	333	16	1	0	99	1	0.1051	1217272	1479469	268982
334	334	16	1	0	98	1	0.2294	1548317	2351463	779304
335	335	16	1	0	106	2	0.1355	865594	1340866	361222
336	336	16	1	0	122	2	0.2793	691737	1799860	889514
337	337	16	1	0	96	1	0.06254	386096	571233	165447
338	338	16	1	0	104	1	0.2075	2808402	3412245	628676
339	339	16	1	0	103	2	2.296	11322768	18298301	5811563
340	340	16	1	0	105	1	0.5715	2798241	4769792	1654252
341	341	16	1	0	103	1	0.04707	153695	231014	77804
342	342	16	1	0	111	2	0.4957	2963839	4550937	1596405
343	343	16	1	0	106	2	0.3534	1698955	2881494	972797
344	344	16	1	0	105	1	0.09988	663952	1004466	329745
345	345	16	1	2			0.0794	0	307913	127932
346	346	16	1	2			23.37	0	77351695	40056456
347	347	16	1	0	106	2	0.7924	6047731	8212868	2055561
348	348	16	1	2			10.51	0	35432035	22058740
349	349	16	1	0	111	2	2.249	16392238	22872227	5668860
350	350	16	1	0	108	2	0.1094	785857	1121566	347228
351	351	16	1	0	112	2	0.04708	151375	234930	72103
352	352	16	1	0	119	2	2.94	9958104	19153897	7493336
353	353	16	1	0	100	1	0.4471	4600821	5969397	1347213
354	354	16	1	0	108	1	1.148	6163608	10015465	3318399
355	355	16	1	0	116	2	24.58	52691823	117236100	42713902
356	356	16	1	2			0.04987	0	28124	12539
357	357	16	1	0	107	1	0.1797	1412055	2010704	507726
358	358	16	1	0	111	2	0.09338	757106	1037708	256422
359	359	16	1	0	100	1	0.8112	5624249	7970457	2266107
360	360	16	1	0	111	2	1.094	7492533	10365468	2785820
361	361	16	1	0	93	1	0.04703	158174	221193	56820
362	362	16	1	2			0.4957	0	2130129	1090184
363	363	16	1	0	108	2	0.856	5385121	8491500	2420055
364	364	16	1	0	104	1	0.05822	490836	624762	116059
365	365	16	1	0	107	2	0.3509	1610434	2948241	1186248
366	366	16	1	0	109	2	0.05456	309201	450118	149506
367	367	16	1	0	113	2	0.2193	1911455	2663103	706333
368	368	16	1	0	106	1	0.125	866948	1263101	344356
369	369	16	1	0	109	2	0.08132	514188	758910	214458
370	370	16	1	0	109	2	0.4379	2543785	4075215	1405606
371	371	16	1	0	96	2	0.1878	1378861	1992716	557162
372	372	16	1	0	97	1	0.08203	417967	681892	222167
373	373	16	1	0	106	2	0.04714	198474	291312	78090
374	374	16	1	0	119	2	0.5536	4124605	6051858	1785980
375	375	16	1	0	106	1	1.772	11840954	17604878	5391716
376	376	16	1	0	107	1	1.826	14124287	19278602	4778525
377	377	16	1	0	114	2	1.631	5929627	11614026	4262260
378	378	16	1	0	100	1	0.1711	1217080	1750375	470967
379	379	16	1	0	116	2	0.1535	1039856	1542368	440050
380	380	16	1	0	106	2	0.04698	129283	196996	53782
381	381	16	1	0	121	2	2.351	13899942	21341761	6149202
382	382	16	1	2			1.353	0	5532379	3025936
383	383	16	1	0	105	2	0.07631	597673	819570	201666
384	384	16	1	0	109	2	0.08401	501006	755158	208052
385	385	16	1	0	94	1	0.04725	99457	129317	32431
386	386	16	1	0	110	2	0.05219	319541	456486	123077
387	387	16	1	0	106	1	0.1559	1730752	2175577	454219
388	388	16	1	0	107	1	0.7023	6734119	8834911	1809520
389	389	16	1	0	127	3	0.2143	949563	1625852	555957
390	390	16	1	0	144	3	1.437	5543629	10627274	3804421
391	391	16	1	0	120	2	0.6214	3454571	5849864	2129896
392	392	16	1	0	116	2	0.194	1044562	1732634	616055
393	393	16	1	0	100	1	0.2622	2975858	3771969	820590
394	394	16	1	0	110	2	0.04705	41962	62190	17298
395	395	16	1	0	145	4	0.1591	85349	733108	363113
396	396	16	1	0	115	2	0.05523	242554	403337	128399
397	397	16	1	0	117	2	9.435	47997018	70292122	19381729
398	398	16	1	0	113	2	0.04855	42246	73667	27206
399	399	16	1	0	105	2	0.2812	771608	1841811	856980
400	400	16	1	0	113	2	0.04964	234853	367360	111120
401	401	16	1	0	110	1	0.1708	1240013	1795802	534570
402	402	16	1	0	114	2	0.08034	473366	715265	203968
403	403	16	1	0	108	1	0.4064	2539476	3929614	1264646
404	404	16	1	2			0.04709	0	28192	14970
405	405	16	1	0	107	2	0.3015	3120079	4021268	889482
406	406	16	1	0	98	1	0.04701	295464	352615	59066
407	407	16	1	0	104	2	0.2743	1041823	2138285	803986
408	408	16	1	0	102	2	0.04725	126039	270001	126015
409	409	16	1	0	116	3	0.2261	1482713	2263367	643946
410	410	16	1	0	109	2	0.04704	161019	277215	92369
411	411	16	1	0	108	2	0.3604	2131496	3333310	1093959
412	412	16	1	0	114	2	0.3003	1675487	2779957	1012927
413	413	16	1	0	113	2	0.5907	4039589	6082240	1842368
414	414	16	1	0	109	2	0.09669	736110	1025653	264303
415	415	16	1	0	123	2	6.725	32788997	53431676	17632782
416	416	16	1	0	121	2	1.506	5916695	11347428	4307733
417	417	16	1	0	104	1	0.1626	1106552	1654598	524385
418	418	16	1	0	129	3	0.8072	2003194	5057105	2187826
419	419	16	1	0	122	2	0.1017	437281	786457	249355
420	420	16	1	3			77.24	144202641	351196019	150000018
421	421	16	1	0	104	1	0.1275	926996	1346125	407407
422	422	16	1	0	113	2	0.1373	1005789	1457233	400100
423	423	16	1	0	115	2	0.2582	1776350	2613675	779871
424	424	16	1	2			0.06166	0	233707	120477
425	425	16	1	0	100	1	0.4416	4594554	5972294	1318132
426	426	16	1	0	105	2	0.04743	40400	58880	17207
427	427	16	1	0	107	2	0.1786	1406889	2012141	472968
428	428	16	1	0	105	2	0.3059	3139334	4106330	962987
429	429	16	1	0	103	1	0.119	884507	1261864	342137
430	430	16	1	0	98	1	0.1682	1631253	2078746	482477
431	431	16	1	0	109	1	0.0471	270254	366355	90792
432	432	16	1	0	112	2	0.4704	2324200	3985770	1258506
433	433	16	1	0	98	1	0.1438	1074754	1530541	440770
434	434	16	1	0	120	2	0.4644	1782649	3599145	1205021
435	435	16	1	0	108	1	0.6995	5995463	8214082	2156890
436	436	16	1	0	107	2	0.2791	2389371	3245770	805260
437	437	16	1	0	115	2	3.809	12432845	25133506	8637936
438	438	16	1	0	111	2	0.04737	141194	256704	107706
439	439	16	1	0	118	2	0.619	1489058	3880370	1668124
440	440	16	1	0	114	2	0.3186	1598651	2800359	960742
441	441	16	1	0	118	2	0.2453	1298212	2189449	671600
442	442	16	1	0	101	1	0.3903	3722991	4940710	1151510
443	443	16	1	0	115	2	0.5875	3043417	5162791	1760036
444	444	16	1	2			1.073	0	4297273	2255297
445	445	16	1	0	109	2	0.3253	1174198	2363337	940432
446	446	16	1	0	106	2	0.5104	2227794	4103450	1310468
447	447	16	1	0	100	2	0.04693	28972	40433	11129
448	448	16	1	0	107	1	0.1323	1180134	1587495	374730
449	449	16	1	0	110	1	0.9753	6059420	9472422	3155623
450	450	16	1	0	109	2	0.3163	1099869	2288575	971270
451	451	16	1	0	127	3	0.06999	288951	513027	172749
452	452	16	1	0	111	2	0.6288	5946777	7752009	1801706
453	453	16	1	0	116	2	0.9961	2906351	6611037	2472595
454	454	16	1	2			0.04697	0	3178	1105
455	455	16	1	0	118	2	0.1526	998010	1478897	462880
456	456	16	1	0	106	2	0.09559	392529	723735	266526
457	457	16	1	0	116	2	0.1459	1199025	1700480	455831
458	458	16	1	0	107	2	0.3665	2183622	3453281	1139304
459	459	16	1	0	110	2	0.1433	796415	1270628	403099
460	460	16	1	0	108	2	0.4698	2678156	4463113	1439569
461	461	16	1	0	96	1	0.04707	147546	196898	48014
462	462	16	1	0	100	2	0.2107	708983	1502755	645370
463	463	16	1	2			1.974	0	7907280	4017153
464	464	16	1	0	133	3	0.1605	680701	1241178	512974
465	465	16	1	0	99	1	0.3742	950058	2360576	1308666
466	466	16	1	0	131	3	0.2337	265680	1195331	551410
467	467	16	1	0	132	3	0.9415	1990686	5696512	2252803
468	468	16	1	0	110	2	0.2726	1798385	2750230	826697
469	469	16	1	0	107	2	0.1013	233474	604046	307357
470	470	16	1	0	133	2	0.1595	616788	1223767	471439
471	471	16	1	0	117	2	0.6221	2151232	4484193	1893367
472	472	16	1	2			0.5212	0	2069547	1051282
473	473	16	1	0	131	4	0.06073	128457	344624	139696
474	474	16	1	0	124	2	0.3375	1583263	2853704	1050579
475	475	16	1	0	109	2	1.224	6584739	10676977	3514260
476	476	16	1	0	113	2	0.4543	1851759	3528535	1374987
477	477	16	1	0	111	1	0.2072	1163867	1879369	614673
478	478	16	1	0	111	2	0.4698	2660859	4302094	1193454
479	479	16	1	0	107	2	0.0471	205083	314911	104430
480	480	16	1	2			0.04687	0	175	110
