row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
1	1	16	1	0	95	1	0.06792	157010	204045	45797
2	2	16	1	0	123	2	0.1987	1534603	2140538	560678
3	3	16	1	0	108	1	0.05119	235331	391675	161264
4	4	16	1	0	104	2	0.8278	5610846	8176793	2311723
5	5	16	1	0	113	2	0.5557	3838753	5781319	1714915
6	6	16	1	2			0.04714	0	47287	21452
7	7	16	1	0	128	3	0.2056	533230	1359107	543529
8	8	16	1	0	125	3	0.04699	85617	146598	51024
9	9	16	1	0	113	2	0.3797	1711861	3157969	1283226
10	10	16	1	0	121	2	1.695	8322611	13724990	4256886
11	11	16	1	0	119	2	8.785	39430455	60978727	17781764
12	12	16	1	0	118	2	0.06148	191786	396511	150548
13	13	16	1	0	129	3	0.1669	223467	902804	444215
14	14	16	1	0	103	1	0.0794	729786	965246	214478
15	15	16	1	0	100	1	0.6501	6347024	7981483	1636315
16	16	16	1	0	110	2	0.8004	6687155	9021319	2205449
17	17	16	1	0	111	2	0.145	924976	1430128	373849
18	18	16	1	0	119	2	1.633	8105132	13912289	5000712
19	19	16	1	0	132	3	0.7122	902668	3763588	1914664
20	20	16	1	0	108	1	1.128	8963150	12639829	3341947
21	21	16	1	0	104	1	0.04708	241703	367466	124461
22	22	16	1	0	110	2	0.05082	234133	384152	125276
23	23	16	1	0	116	2	3.177	11927487	21210177	7952348
24	24	16	1	0	110	2	1.102	3896735	7676140	3077132
25	25	16	1	0	111	2	0.05017	324520	451092	127338
26	26	16	1	0	108	1	0.09956	465801	817907	270476
27	27	16	1	0	119	2	2.284	15035280	22179516	6627340
28	28	16	1	2			12.12	0	40464827	20324659
29	29	16	1	0	125	3	0.1047	402408	785644	279811
30	30	16	1	0	128	3	0.2345	1654078	2450124	816380
31	31	16	1	0	104	2	0.0471	154548	223716	63433
32	32	16	1	0	112	2	0.7803	4230507	6958727	2346386
33	33	16	1	2			0.04694	0	895	391
34	34	16	1	0	125	3	0.4197	2485204	4017934	1407279
35	35	16	1	0	107	2	0.8613	5149135	8034888	2640758
36	36	16	1	0	124	2	0.04713	140355	249777	97003
