row	seed	threads	draw	outcome	moves	states	time	passes
1057	1123350	4	1	0	109	43405	0.195597	1
1058	1124187	4	1	0	108	224699	0.70428	1
1059	1125024	4	1	0	103	8904	0.111735	1
1060	1125861	4	1	2	0	1575844	4.02201	-1
1061	1126698	4	1	2	0	107358	0.423574	-1
1062	1127535	4	1	2	0	3440	0.123602	-1
1063	1128372	4	1	2	0	1040517	2.5572	-1
1064	1129209	4	1	0	99	1957718	3.66789	1
1065	1130046	4	1	0	105	670537	2.05462	1
1066	1130883	4	1	2	0	16763	0.124161	-1
1067	1131720	4	1	2	0	440779	1.22182	-1
1068	1132557	4	1	0	106	177341	0.571538	1
1069	1133394	4	1	2	0	187484	0.627322	-1
1070	1134231	4	1	2	0	44207	0.205777	-1
1071	1135068	4	1	2	0	9053	0.125659	-1
1072	1135905	4	1	2	0	467063	1.47592	-1
1073	1136742	4	1	0	105	327892	0.953257	1
1074	1137579	4	1	0	105	99094	0.362238	1
1075	1138416	4	1	2	0	7939	0.1222	-1
1076	1139253	4	1	2	0	1297300	3.30796	-1
1077	1140090	4	1	0	107	13131	0.113023	1
1078	1140927	4	1	0	103	11032669	20.3765	1
1079	1141764	4	1	2	0	153917	0.514934	-1
1080	1142601	4	1	2	0	1701207	4.0625	-1
1081	1143438	4	1	2	0	238	0.119833	-1
1082	1144275	4	1	2	0	150724	0.457734	-1
1083	1145112	4	1	0	99	2218797	3.69885	1
1084	1145949	4	1	0	112	724327	1.91016	1
1085	1146786	4	1	0	104	706714	1.99352	1
1086	1147623	4	1	2	0	465168	1.44737	-1
1087	1148460	4	1	2	0	473	0.117819	-1
1088	1149297	4	1	2	0	33586	0.170678	-1
1089	1150134	4	1	2	0	189999	0.732491	-1
1090	1150971	4	1	2	0	11324	0.12286	-1
1091	1151808	4	1	2	0	4753	0.119665	-1
1092	1152645	4	1	2	0	2513	0.119952	-1
1093	1153482	4	1	0	111	1746025	4.18415	1
1094	1154319	4	1	2	0	65615	0.249787	-1
1095	1155156	4	1	2	0	2928	0.128732	-1
1096	1155993	4	1	2	0	34644	0.159822	-1
1097	1156830	4	1	2	0	116893	0.412909	-1
1098	1157667	4	1	2	0	711	0.119513	-1
1099	1158504	4	1	2	0	500905	1.53717	-1
1100	1159341	4	1	0	112	2303902	5.03505	1
1101	1160178	4	1	0	94	808955	2.02227	1
1102	1161015	4	1	2	0	3987	0.119683	-1
1103	1161852	4	1	0	111	1218871	2.81518	1
1104	1162689	4	1	2	0	436	0.120886	-1
1105	1163526	4	1	2	0	575707	1.8699	-1
1106	1164363	4	1	2	0	253493	0.789071	-1
1107	1165200	4	1	2	0	4783	0.124405	-1
1108	1166037	4	1	2	0	5241	0.120674	-1
1109	1166874	4	1	2	0	41076	0.18604	-1
1110	1167711	4	1	2	0	253523	0.816006	-1
1111	1168548	4	1	2	0	2565	0.119918	-1
1112	1169385	4	1	0	110	906412	2.43827	1
1113	1170222	4	1	0	103	280755	0.918403	1
1114	1171059	4	1	2	0	10064	0.120743	-1
1115	1171896	4	1	2	0	252759	0.808618	-1
1116	1172733	4	1	2	0	210619	0.748101	-1
1117	1173570	4	1	2	0	46688	0.192254	-1
1118	1174407	4	1	0	101	20473	0.118198	1
1119	1175244	4	1	2	0	389	0.119156	-1
1120	1176081	4	1	2	0	9950	0.124095	-1
1121	1176918	4	1	2	0	33050	0.179827	-1
1122	1177755	4	1	0	95	1349409	2.5793	1
1123	1178592	4	1	2	0	81300	0.334043	-1
1124	1179429	4	1	0	98	691025	1.36982	1
1125	1180266	4	1	2	0	47305	0.208172	-1
1126	1181103	4	1	2	0	32917	0.146006	-1
1127	1181940	4	1	2	0	6840	0.121518	-1
1128	1182777	4	1	2	0	245	0.119364	-1
1129	1183614	4	1	2	0	115295	0.467908	-1
1130	1184451	4	1	2	0	609626	1.60449	-1
1131	1185288	4	1	0	109	6177854	11.8963	1
1132	1186125	4	1	2	0	384	0.122823	-1
1133	1186962	4	1	2	0	713537	2.13427	-1
1134	1187799	4	1	0	106	1879788	4.12732	1
1135	1188636	4	1	0	101	338388	1.00833	1
1136	1189473	4	1	2	0	15622	0.123749	-1
1137	1190310	4	1	2	0	71447	0.280904	-1
1138	1191147	4	1	2	0	103687	0.429428	-1
1139	1191984	4	1	2	0	1077508	2.7524	-1
1140	1192821	4	1	0	98	209570	0.65611	1
1141	1193658	4	1	0	114	903069	2.29565	1
1142	1194495	4	1	2	0	334637	0.97161	-1
1143	1195332	4	1	2	0	1387	0.117802	-1
1144	1196169	4	1	2	0	302	0.119241	-1
1145	1197006	4	1	2	0	13587	0.123923	-1
1146	1197843	4	1	0	115	1418727	3.1545	1
1147	1198680	4	1	2	0	35766	0.168878	-1
1148	1199517	4	1	0	95	70866	0.249414	1
1149	1200354	4	1	2	0	66077	0.267997	-1
1150	1201191	4	1	2	0	42350	0.172692	-1
1151	1202028	4	1	0	116	18994	0.114892	1
1152	1202865	4	1	0	104	33267	0.155659	1
1153	1203702	4	1	2	0	63701	0.265085	-1
1154	1204539	4	1	0	99	79664	0.275947	1
1155	1205376	4	1	2	0	1957	0.119924	-1
1156	1206213	4	1	2	0	576796	1.5041	-1
1157	1207050	4	1	2	0	13631	0.124935	-1
1158	1207887	4	1	2	0	1324275	3.27888	-1
1159	1208724	4	1	0	108	953015	2.4962	1
1160	1209561	4	1	0	97	579007	1.39742	1
1161	1210398	4	1	0	101	643497	1.66437	1
1162	1211235	4	1	2	0	204092	0.718192	-1
1163	1212072	4	1	0	108	660574	1.85016	1
1164	1212909	4	1	2	0	530576	1.61582	-1
1165	1213746	4	1	2	0	47133	0.20599	-1
1166	1214583	4	1	2	0	3947	0.121258	-1
1167	1215420	4	1	2	0	38333	0.183905	-1
1168	1216257	4	1	2	0	204605	0.654183	-1
1169	1217094	4	1	0	104	4331775	7.80472	1
1170	1217931	4	1	2	0	252853	0.82415	-1
