row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6629	6629	16	3	0	96	4	0.1043	248798	631891	306143
6630	6630	16	3	2			0.04694	0	9772	5835
6631	6631	16	3	0	91	2	1.667	8085304	13539013	5274830
6632	6632	16	3	0	94	4	0.163	382929	913628	439061
6633	6633	16	3	0	101	4	0.7843	1211641	4437555	2569843
6634	6634	16	3	0	100	2	0.226	780060	1635316	789078
6635	6635	16	3	0	95	3	0.3388	1269497	2540142	1256245
6636	6636	16	3	0	125	6	3.35	736032	13255346	8098190
6637	6637	16	3	0	115	5	0.08331	97273	415938	238989
6638	6638	16	3	0	111	5	0.06307	34910	285223	151873
6639	6639	16	3	0	93	4	0.6502	2560222	4721268	1910635
6640	6640	16	3	0	107	4	0.4168	441898	2181738	1234636
6641	6641	16	3	2			0.04698	0	40488	23231
6642	6642	16	3	0	94	3	0.435	1284776	2911995	1351384
6643	6643	16	3	0	107	3	0.4717	1396585	3148434	1494759
6644	6644	16	3	0	94	4	0.3268	1176537	2336557	986506
6645	6645	16	3	0	99	3	0.2731	1041649	2039854	866358
6646	6646	16	3	0	106	3	0.04698	50609	208201	114580
6647	6647	16	3	0	94	4	1.509	4975981	10326168	4483631
6648	6648	16	3	2			1.245	0	5046929	3184960
6649	6649	16	3	0	94	2	0.4381	1571226	3162714	1387678
6650	6650	16	3	0	90	2	0.5608	2168625	4243024	1854709
6651	6651	16	3	2			0.0469	0	83	40
6652	6652	16	3	0	119	6	0.09278	358123	638831	256511
6653	6653	16	3	0	102	4	14.84	39873611	80050267	35831777
6654	6654	16	3	0	90	2	0.3264	1670097	2853057	1112594
6655	6655	16	3	2			1.136	0	4744827	2720753
6656	6656	16	3	2			0.04712	0	6465	3373
6657	6657	16	3	0	95	3	0.1784	578727	1214061	556205
6658	6658	16	3	0	101	3	1.41	2643167	7762627	4014077
6659	6659	16	3	0	106	3	0.1589	211954	869770	543005
6660	6660	16	3	0	111	5	0.2682	378675	1427950	729532
6661	6661	16	3	0	102	2	0.782	2290256	5317324	2611833
6662	6662	16	3	2			0.04702	0	83037	49284
6663	6663	16	3	2			0.04823	0	4006	2512
6664	6664	16	3	0	97	3	0.7349	2289138	5026932	2330141
6665	6665	16	3	0	87	1	0.9043	3449796	6768821	2871350
6666	6666	16	3	0	99	4	1.17	2314462	6583022	3394613
6667	6667	16	3	2			2.698	0	10303077	6213281
6668	6668	16	3	0	87	2	0.05185	132980	285358	130670
6669	6669	16	3	2			0.04701	0	3523	2415
6670	6670	16	3	0	82	3	0.04774	70346	143539	61596
6671	6671	16	3	0	92	3	0.1128	339219	749966	333057
