row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
28738	28738	16	3	0	102	4	0.5657	944130	2175801	1491214
28739	28739	16	3	0	107	4	0.08244	141329	233956	166193
28740	28740	16	3	0	100	3	0.1124	186728	361916	256554
28741	28741	16	3	0	110	5	0.1716	172180	651854	479534
28742	28742	16	3	0	95	3	0.6954	2601732	2522907	2096259
28743	28743	16	3	0	88	2	0.3544	1433576	1276418	1074629
28744	28744	16	3	0	115	5	0.07497	45561	216721	157587
28745	28745	16	3	0	109	6	0.03557	47062	48468	41144
28746	28746	16	3	0	93	2	1.936	5600910	7262454	5198116
28747	28747	16	3	2			0.003671	0	1	0
28748	28748	16	3	0	91	1	0.3849	1111808	1402702	1092876
28749	28749	16	3	0	110	4	0.08485	110980	252947	190620
28750	28750	16	3	0	101	4	0.3297	450930	1250416	850842
28751	28751	16	3	0	89	2	0.09472	295893	278401	236950
28752	28752	16	3	0	96	3	0.3668	1262723	1328731	973599
28753	28753	16	3	0	94	4	0.2906	823383	1024312	841276
28754	28754	16	3	0	100	4	0.42	1238423	1573713	1254129
28755	28755	16	3	0	105	3	1.105	1671317	4478845	3000118
28756	28756	16	3	0	110	4	0.08839	52989	264525	171867
28757	28757	16	3	0	110	5	0.3476	333343	1375936	902192
28758	28758	16	3	0	97	4	0.3044	430529	1162998	803028
28759	28759	16	3	0	101	4	0.1186	326066	361827	291258
28760	28760	16	3	0	94	2	0.07232	145339	178796	148979
28761	28761	16	3	0	106	4	0.246	341424	938015	656902
28762	28762	16	3	2			0.02133	0	33224	18207
28763	28763	16	3	2			0.01635	0	30937	17438
28764	28764	16	3	2			0.18	0	724732	418909
28765	28765	16	3	0	100	3	0.6562	1417461	2539871	1898837
28766	28766	16	3	0	92	4	0.384	1634655	1308156	1108056
28767	28767	16	3	0	102	3	0.1764	577164	589112	468020
28768	28768	16	3	2			6.817	0	26024406	15819383
28769	28769	16	3	0	103	4	0.04539	33607	90634	65524
28770	28770	16	3	2			0.1067	0	372808	219039
28771	28771	16	3	0	107	4	0.105	196738	333831	252279
28772	28772	16	3	0	95	3	0.1265	369473	404924	334426
28773	28773	16	3	0	112	5	0.061	47319	163238	114893
28774	28774	16	3	0	91	2	0.7499	3084795	2667554	2231238
28775	28775	16	3	0	101	3	1.154	2305588	4421673	3246505
28776	28776	16	3	0	101	3	0.9808	2722940	3739097	2991523
28777	28777	16	3	0	96	3	0.07468	109774	213948	157766
28778	28778	16	3	0	101	4	0.6693	1032209	2549164	1705899
28779	28779	16	3	0	103	4	0.401	744546	1514890	1178995
28780	28780	16	3	0	85	2	0.2024	872491	704325	598511
28781	28781	16	3	0	82	1	0.02753	39144	28837	26392
28782	28782	16	3	2			0.004055	0	73	40
28783	28783	16	3	0	107	3	0.07571	146626	213790	163560
28784	28784	16	3	0	95	3	0.09826	180800	311783	242698
28785	28785	16	3	0	95	3	0.2224	705028	756983	539461
28786	28786	16	3	0	90	3	0.1379	301223	487106	389715
28787	28787	16	3	0	112	5	0.2162	140282	858111	567703
28788	28788	16	3	0	91	3	0.1187	451784	370363	323579
28789	28789	16	3	0	110	4	0.3317	404128	1305567	953555
28790	28790	16	3	2			0.004148	0	9	6
28791	28791	16	3	0	119	6	0.2535	441789	949932	761564
28792	28792	16	3	0	95	3	0.6495	1559548	2413466	1744581
28793	28793	16	3	0	93	4	1.008	2916181	3818030	2854410
28794	28794	16	3	2			0.006028	0	2734	1419
28795	28795	16	3	2			0.5741	0	2216892	1317321
28796	28796	16	3	0	102	3	0.07924	200243	216959	182129
28797	28797	16	3	2			0.0141	0	20330	11830
28798	28798	16	3	0	110	5	0.3025	489621	1092768	769031
28799	28799	16	3	0	104	5	0.1658	267778	564666	404320
28800	28800	16	3	0	93	3	0.9645	1932275	3760609	2852613
28801	28801	16	3	0	104	4	0.3988	642571	1527737	1104849
28802	28802	16	3	0	98	3	0.8908	2847160	3405275	2770688
28803	28803	16	3	2			0.004613	0	594	367
28804	28804	16	3	0	96	3	1.201	1286718	4795093	2962598
28805	28805	16	3	0	105	3	0.2549	323447	978526	674075
28806	28806	16	3	0	94	2	0.0528	116290	110266	88823
28807	28807	16	3	0	98	4	0.07256	141120	193996	158697
28808	28808	16	3	0	103	5	0.2433	887404	801094	666627
28809	28809	16	3	2			0.05384	0	145309	85533
28810	28810	16	3	0	91	3	1.434	4627100	5157862	4132003
28811	28811	16	3	0	104	3	0.6342	1247027	2356242	1608569
28812	28812	16	3	0	118	5	0.7274	760184	2917728	2060254
28813	28813	16	3	0	106	3	0.7382	997798	3041622	2098196
28814	28814	16	3	0	101	3	0.1609	243278	567057	381732
28815	28815	16	3	0	105	3	0.08845	154899	269218	209278
28816	28816	16	3	0	113	4	0.03105	14049	54700	35936
28817	28817	16	3	0	106	4	0.7053	1155922	2716775	2053470
28818	28818	16	3	0	81	2	0.07711	369853	188602	173068
28819	28819	16	3	0	102	3	0.4077	305925	1604771	1035095
28820	28820	16	3	2			25.95	0	80601541	42673446
28821	28821	16	3	0	92	3	0.6631	2047583	2460297	1877479
28822	28822	16	3	0	90	2	0.1266	394743	396212	346672
28823	28823	16	3	2			0.00498	0	1234	841
28824	28824	16	3	2			0.004405	0	821	411
28825	28825	16	3	2			0.004424	0	8	5
28826	28826	16	3	0	88	1	0.06023	165128	138604	116241
28827	28827	16	3	2			11.74	0	44857248	25602596
28828	28828	16	3	0	93	3	1.28	4517638	4301018	3497716
28829	28829	16	3	0	93	2	3.593	10661221	12083654	9487985
28830	28830	16	3	0	88	3	0.06547	196062	163757	142995
28831	28831	16	3	0	104	3	0.08562	225474	227092	185421
28832	28832	16	3	2			0.00496	0	1615	1085
28833	28833	16	3	0	101	3	0.1843	312057	681913	494222
28834	28834	16	3	0	92	3	0.7555	2367575	2729257	2148099
28835	28835	16	3	0	96	4	0.07733	243802	207801	185125
28836	28836	16	3	0	92	3	0.2229	551515	832465	640756
28837	28837	16	3	0	100	3	0.5673	1255133	2268035	1739622
28838	28838	16	3	0	102	3	0.01703	12664	13759	12503
28839	28839	16	3	0	104	4	0.3367	770180	1254943	1025299
28840	28840	16	3	0	92	3	0.7089	2745506	2602166	2219893
28841	28841	16	3	0	104	2	0.4867	571728	1911086	1207627
28842	28842	16	3	0	102	4	0.1288	315710	407595	341311
28843	28843	16	3	2			0.917	0	3649701	2072655
28844	28844	16	3	2			0.1344	0	501584	275538
28845	28845	16	3	0	118	5	0.06079	39129	146456	103982
28846	28846	16	3	0	101	3	0.3882	1135103	1459280	1184513
28847	28847	16	3	0	94	3	0.1908	629341	644573	530975
28848	28848	16	3	2			0.02333	0	44653	28198
28849	28849	16	3	0	96	3	0.09444	175956	281362	216094
28850	28850	16	3	0	91	2	0.1798	697268	599492	512203
28851	28851	16	3	0	97	2	0.268	470843	1056967	819079
28852	28852	16	3	0	94	3	2.723	6018029	9652507	7071349
28853	28853	16	3	2			0.0473	0	121258	72400
28854	28854	16	3	0	89	3	0.5462	933718	2189652	1424896
28855	28855	16	3	0	100	4	0.01145	5233	8346	8010
28856	28856	16	3	2			0.02229	0	36049	19555
28857	28857	16	3	2			0.05768	0	144904	85336
